intersection_key,Latitude,Longitude,rank_SW,rank_SA,rank_delta_SA_minus_SW
LUBBOCK|LUBBOCK|33.4814|-101.9049||QUAKER AVENUE,33.4814,-101.9049,1312.0,1656.0,344.0
LUBBOCK|LUBBOCK|33.4832|-101.9396|122ND STREET|FRANKFORD AVENUE,33.4832,-101.9396,4152.0,2115.0,-2037.0
LUBBOCK|LUBBOCK|33.4833|-101.9396|122ND STREET|FRANKFORD AVENUE,33.4833,-101.9396,4152.0,5419.0,1267.0
LUBBOCK|LUBBOCK|33.4834|-101.8876|122ND STREET|INDIANA AVENUE,33.4834,-101.8876,4152.0,2183.0,-1969.0
LUBBOCK|LUBBOCK|33.4834|-101.9049|122ND STREET|QUAKER AVENUE,33.4834,-101.9049,2031.5,404.0,-1627.5
LUBBOCK|LUBBOCK|33.4846|-101.9223|121ST STREET|FM 1730,33.4846,-101.9223,4152.0,5064.0,912.0
LUBBOCK|LUBBOCK|33.4854|-101.9396||FRANKFORD AVENUE,33.4854,-101.9396,4152.0,4427.0,275.0
LUBBOCK|LUBBOCK|33.4855|-101.9396||FRANKFORD AVENUE,33.4855,-101.9396,4152.0,1538.0,-2614.0
LUBBOCK|LUBBOCK|33.4862|-101.9396||FRANKFORD AVENUE,33.4862,-101.9396,4152.0,1855.0,-2297.0
LUBBOCK|LUBBOCK|33.4866|-101.9049||QUAKER AVENUE,33.4866,-101.9049,4152.0,4434.0,282.0
LUBBOCK|LUBBOCK|33.4871|-101.8876|118TH STREET|INDIANA AVENUE,33.4871,-101.8876,135.5,46.0,-89.5
LUBBOCK|LUBBOCK|33.4889|-101.8876|116TH STREET|INDIANA AVENUE,33.4889,-101.8876,4152.0,5160.0,1008.0
LUBBOCK|LUBBOCK|33.4896|-101.9117||115TH STREET,33.4896,-101.9117,4152.0,4882.0,730.0
LUBBOCK|LUBBOCK|33.4901|-101.9049||QUAKER AVENUE,33.4901,-101.9049,4152.0,1666.0,-2486.0
LUBBOCK|LUBBOCK|33.4904|-101.8703||UNIVERSITY AVENUE,33.4904,-101.8703,4152.0,1579.0,-2573.0
LUBBOCK|LUBBOCK|33.4904|-101.9570||MILWAUKEE AVENUE,33.4904,-101.957,4152.0,5269.0,1117.0
LUBBOCK|LUBBOCK|33.4905|-101.9363|114TH STREET|ENGLEWOOD AVENUE,33.4905,-101.9363,4152.0,3589.0,-563.0
LUBBOCK|LUBBOCK|33.4905|-101.9397||114TH STREET,33.4905,-101.9397,4152.0,2522.0,-1630.0
LUBBOCK|LUBBOCK|33.4905|-101.9406||114TH STREET,33.4905,-101.9406,4152.0,1838.0,-2314.0
LUBBOCK|LUBBOCK|33.4905|-101.9408||114TH STREET,33.4905,-101.9408,4152.0,4342.0,190.0
LUBBOCK|LUBBOCK|33.4905|-101.9570|114TH STREET|MILWAUKEE AVENUE,33.4905,-101.957,4152.0,1814.0,-2338.0
LUBBOCK|LUBBOCK|33.4906|-101.8703||UNIVERSITY AVENUE,33.4906,-101.8703,4152.0,2961.0,-1191.0
LUBBOCK|LUBBOCK|33.4906|-101.8876|114TH STREET|INDIANA AVENUE,33.4906,-101.8876,4152.0,4395.0,243.0
LUBBOCK|LUBBOCK|33.4906|-101.9290||114TH STREET,33.4906,-101.929,4152.0,3876.0,-276.0
